RefSeq-Accn	Assigned-Molecule	FR-Run	FR-Par	FR-Lez	CN-Lia	CN-Bei	FR-Cor	ES-Bar	DE-Jen	DE-Dos	JP-Tok	JP-Sap	CN-Shi	US-Wis	US-Wat	CN-Nin	US-Sok	US-Sdi	US-Nca	US-Haw	US-Col	BR-Pal	IT-Tre	California-CA	Wisconsin-WI	Hokkaido-HK	Jena-JN	Kanazawa-KZ	Montpelier-MT	Trento-TR
NW_023496916.1	na	9.67078	11.1384	8.99279	9.60389	12.8443	10.1148	11.9035	10.2247	13.0637	9.58903	13.8131	10.4065	12.2269	9.57867	8.94251	10.8112	10.2977	8.97376	11.7021	11.2484	9.95903	12.1451	5.85367	3.96197	13.5779	5.52214	12.7432	13.0803	17.3489
NW_023496908.1	na	19.1763	21.0004	17.2078	14.6781	27.1146	21.3697	16.9586	19.0517	23.5787	19.448	18.0024	13.3109	24.446	12.9995	18.0392	18.2234	17.4127	17.1393	21.1629	21.6363	17.6207	23.5412	14.4073	11.9976	21.6167	16.5802	24.7836	37.5973	35.7226
NW_023496911.1	na	13.0526	12.7381	11.4256	10.0846	10.6354	12.1531	11.8688	13.0796	14.1244	8.49549	14.3602	9.29713	16.5509	9.30287	7.39405	8.8421	19.7989	14.1631	10.7933	18.0125	14.9345	11.5678	10.1032	6.37835	11.8375	5.84308	12.1299	17.3309	15.8288
NW_023496913.1	na	7.8161	5.80871	5.84813	8.72618	12.3285	7.06572	8.30441	6.99135	7.3433	5.48811	10.0312	11.0653	5.01893	7.33019	8.55341	7.13436	5.96074	4.0141	5.12092	5.62542	4.41579	9.53451	2.86424	2.02094	7.94491	4.46562	8.1269	8.58237	13.4363
NW_023496909.1	na	35.4699	39.57	31.2015	34.6449	46.4021	32.2366	43.3686	37.8386	56.2022	32.2597	49.8747	39.9404	46.0939	32.2303	34.6813	38.5943	32.1481	28.7167	39.7873	45.0578	39.0042	44.2079	24.3126	22.8691	44.4128	44.1679	69.7049	55.6975	66.9025
NW_023496925.1	na	12.5753	11.2667	10.7222	9.38263	10.2167	9.21988	16.3299	9.09506	14.9026	8.32329	16.9616	10.1049	13.0841	12.0182	7.23869	14.734	10.0139	9.21809	9.71194	11.2667	10.9802	11.4005	6.75458	7.31041	18.5782	8.71146	21.4096	14.9892	28.1173
NW_023496914.1	na	41.1554	40.8438	33.0322	38.9349	46.6834	31.5924	48.7428	40.2758	64.1834	31.7071	55.9389	46.0414	46.4343	35.4939	34.3785	41.4153	34.4004	28.1075	39.3935	46.8342	40.8821	48.1826	17.7606	16.6226	32.6407	34.8988	53.7698	38.6817	52.4987
NW_023496912.1	na	33.5748	34.5357	30.2759	28.4501	36.9127	32.8669	37.6156	32.2506	38.4983	31.8341	44.587	29.3543	37.4645	30.1261	24.35	36.9948	35.2524	28.9904	36.8101	34.6439	28.4365	36.9824	20.1889	13.0318	41.7867	17.996	44.4323	44.6603	54.1059
NW_023496910.1	na	44.6495	43.1464	38.1324	37.763	49.8488	41.2599	46.315	40.1725	45.4113	38.7426	52.374	37.0554	48.7047	39.7893	30.4025	42.7902	53.2255	33.0459	46.6668	45.7722	37.3177	46.1854	31.0712	21.2159	57.0801	26.1822	65.2537	67.1116	73.2391
NW_023496920.1	na	22.3052	22.4894	17.9703	15.6215	20.2026	21.6617	25.191	20.667	26.3181	16.9495	24.0484	16.3558	22.8254	16.3114	13.9596	19.2139	17.9997	16.4016	21.0239	20.71	17.4845	24.7191	9.70277	7.66664	22.4422	12.0846	21.6584	27.3917	36.7342
NW_023496917.1	na	35.0421	39.3637	34.2248	34.2422	45.9988	37.0095	43.2618	37.1525	45.5383	36.5978	51.2111	35.5428	46.7752	35.2357	31.7648	41.597	46.1412	35.4364	43.2104	42.6608	35.3761	42.7759	26.1487	17.3196	51.7967	24.991	61.7478	58.4832	62.5991
NW_023496919.1	na	33.634	34.7996	29.141	31.4791	41.0467	27.4775	40.6126	34.0409	52.2613	27.2836	45.5067	37.3245	39.1066	31.5044	28.1255	36.4526	30.9266	24.102	36.1404	40.1801	34.5617	39.6082	15.9579	12.5779	30.7484	26.8897	46.0338	33.9978	46.2284
NW_023496918.1	na	36.9141	40.1974	34.2731	35.6143	46.7853	38.3137	44.7719	36.8141	48.2344	35.2489	51.3699	36.7045	45.3648	34.0175	32.2013	41.347	38.9114	33.3805	43.3345	42.7526	35.1332	45.5528	24.4275	19.0442	45.9116	24.2655	50.8923	53.2925	62.0558
NW_023496923.1	na	27.1113	27.1766	22.5955	21.1337	25.6604	24.9823	30.0941	26.8854	33.6342	24.2638	34.0163	22.2485	25.7586	22.8286	19.8795	26.7486	22.591	18.5206	27.3316	23.7964	24.2768	28.0326	14.4951	10.8271	29.6836	21.2129	37.7528	39.7738	39.1173
NW_023496833.1	3R	75.935	53.4805	67.7064	50.1607	68.8314	55.3934	58.94	58.5056	58.0665	52.6659	64.8091	45.6127	57.4808	59.165	44.3085	50.0172	71.022	55.2266	71.6371	57.8008	54.9814	50.1963	35.9843	28.5696	66.4563	29.3024	86.3508	78.9674	71.4615
NW_023496844.1	X	33.3145	32.5314	30.8226	25.9609	43.8491	32.7959	27.2664	31.0015	33.3425	32.4895	31.6607	23.8034	37.9095	24.969	29.7326	28.832	35.0527	30.0416	37.3493	35.7331	29.9065	33.601	22.8421	17.0487	36.1652	20.0539	38.7791	47.9182	48.218
NW_023496922.1	na	38.8511	41.8872	37.6026	37.245	47.611	38.9082	46.5913	38.497	49.2585	35.5854	52.6248	38.6003	47.3828	36.7336	32.9753	42.4232	43.2355	31.2941	44.5444	43.986	36.9396	46.6334	22.6542	17.6156	50.5517	24.31	48.3991	49.3908	65.9529
NW_023496926.1	na	20.5904	20.1778	18.0813	11.7585	20.9926	21.8425	20.6527	18.5285	25.2621	16.6589	16.9519	12.8937	20.167	11.8603	17.6659	15.2494	12.8403	14.1756	17.5762	18.3614	14.2847	22.8678	12.6238	11.4431	19.2164	21.8427	29.3341	36.4702	42.6738
NW_023496924.1	na	13.9989	9.98855	10.4489	12.4465	17.7874	12.6173	14.7026	12.1111	14.2672	8.26941	14.6067	13.4545	6.66649	8.96913	11.8532	10.0907	8.62166	5.52109	10.0403	7.40864	6.3275	16.0124	3.68161	2.68392	13.4124	6.70553	11.1298	13.4589	24.2351
NW_023496932.1	na	20.5127	18.383	19.3543	15.0536	21.2441	18.4957	20.2709	17.4865	19.9278	16.327	23.2829	15.7199	19.8222	17.9629	13.2884	21.0934	21.5354	16.853	20.3053	20.2753	16.8932	19.0275	11.5798	7.2282	26.007	10.3526	27.2829	33.3809	31.6673
NW_023496927.1	na	24.3265	23.4951	21.4698	21.9024	31.059	24.6041	27.5539	22.7605	27.2011	21.0386	29.8534	22.2126	24.0452	20.5586	19.608	23.9669	22.267	17.4106	24.2698	22.2435	18.2551	27.9726	15.104	8.86331	28.8917	18.4509	35.5214	36.8491	42.4781
NW_023496933.1	na	28.2824	28.604	21.2787	18.8627	25.5354	23.3662	33.1025	25.4858	26.337	24.5596	38.0845	18.7931	43.0897	27.5097	18.4696	27.6548	32.3995	30.0975	28.0408	37.7985	26.6918	29.6919	20.3907	15.9605	35.4907	14.1439	34.3564	33.695	44.0158
NW_023496931.1	na	30.1773	34.302	28.675	29.0742	35.0861	31.7393	37.9483	30.388	41.3197	29.2248	43.8071	31.0954	37.2116	27.529	28.4686	33.274	29.0632	26.3996	35.7146	34.5197	30.2797	38.7102	18.8416	16.6133	37.2759	25.3621	48.0161	51.7276	53.299
NW_023496928.1	na	34.3362	38.1737	30.5236	32.5131	42.7501	34.4874	40.76	34.3129	44.9347	31.4219	45.7528	34.3607	42.2253	31.2616	29.5986	38.2972	37.0949	28.8065	39.5167	39.6153	32.5729	41.9084	20.8889	14.6718	45.1957	17.865	44.007	46.0119	61.5306
NW_023496929.1	na	25.707	26.9756	22.6548	23.5999	33.2328	23.8501	31.7403	25.403	37.8167	23.4319	36.7806	26.9606	31.3576	23.8602	23.4342	27.1994	23.8996	20.7483	29.0241	28.3304	24.8575	31.3281	17.3952	16.0323	35.5785	29.2264	53.3304	43.5414	50.8882
NW_023496930.1	na	18.3265	20.907	17.3696	16.4476	22.3075	18.3059	21.9471	18.4141	24.2469	17.7113	24.9011	17.2956	24.4697	17.2859	14.8425	20.8638	18.1209	17.0838	22.6428	22.467	18.9386	21.0835	11.1257	8.62817	22.4659	12.4087	26.9642	27.9634	31.5915
NW_023496937.1	na	14.4241	11.2793	11.3261	12.6881	17.494	13.0984	15.8237	12.7381	15.5089	9.56686	15.9462	14.3359	8.5918	10.4261	11.841	11.776	9.53927	7.00676	11.5526	9.03429	7.91701	17.1733	4.93404	3.76409	14.1676	8.60948	13.6073	17.7286	26.1852
NW_023496946.1	na	35.6042	28.3463	27.4841	22.9126	18.6612	36.6808	39.564	24.1434	40.0266	25.2443	25.9724	21.5657	15.2469	9.92615	16.7437	14.2313	10.1785	10.3313	39.5551	13.1774	12.3069	39.5832	6.79632	10.2956	28.9772	51.441	53.5515	57.716	65.5802
NW_023496936.1	na	32.552	38.007	29.8025	32.3715	41.5099	34.2628	41.4197	32.2721	41.8524	32.3868	48.1892	33.1309	42.7259	32.0866	27.1365	39.0325	40.2116	27.3274	37.7029	39.1536	31.8195	41.5924	20.5926	15.4607	50.8833	24.2656	51.9655	45.9688	64.4468
NW_023496949.1	na	7.92994	10.015	8.59719	7.59057	10.5637	8.80431	9.5499	8.42654	10.1267	8.82596	12.0275	7.98073	12.2425	8.73498	6.91775	10.3794	10.0883	9.80948	11.1466	11.3858	9.20179	9.65714	6.06213	3.62153	12.3195	4.59276	11.6254	11.6008	14.7953
NW_023496941.1	na	39.2188	44.2525	35.4373	38.4189	49.9515	41.6627	48.6315	40.5109	54.1359	37.4885	56.2591	41.1082	49.731	35.9739	35.4889	45.2924	41.9484	33.7733	44.6536	45.8559	38.0251	51.1961	25.2523	17.4193	49.763	25.4158	54.0385	55.1176	66.4712
NW_023496947.1	na	9.2429	7.3197	7.05763	10.1106	13.8087	8.69649	10.0794	8.51798	9.72114	7.04073	11.4548	11.8071	6.84144	8.71091	9.65663	8.86153	7.53991	5.45872	6.83322	7.39118	5.75504	11.1488	3.11026	2.57869	10.2711	4.82497	9.16804	9.93404	15.33
NW_023496934.1	na	29.524	31.4015	24.951	27.8476	36.4347	24.0261	35.6526	29.4981	46.6975	25.2801	43.1067	34.1108	37.1544	28.8815	26.1384	33.776	28.4531	23.6993	33.1002	37.2864	32.4683	34.6631	16.2991	14.4919	28.2623	28.8448	47.5844	32.889	42.4604
NW_023496938.1	na	34.7099	34.8072	30.4179	30.2506	39.5918	31.1268	37.007	33.0619	42.5781	28.0356	41.8312	32.5633	38.8131	29.7039	27.9084	34.3028	35.571	27.773	35.6296	35.6587	32.875	39.4399	20.1382	13.2906	40.6207	21.7338	46.6499	44.341	55.0742
NW_023496939.1	na	52.6675	56.0213	46.4766	50.7534	66.0062	47.5436	62.7721	53.5634	78.7342	47.205	75.5791	58.3338	65.1094	50.5364	45.7254	59.6151	49.0952	42.9188	59.9433	63.0061	53.7939	62.0263	28.4138	26.3532	55.4289	50.9552	86.1369	68.9799	82.8125
NW_023496951.1	na	6.74697	5.67404	5.12001	7.95568	11.4712	6.1011	7.15434	6.01524	6.25543	5.59305	9.31916	9.50997	4.82895	6.4021	7.34336	6.69024	5.30116	3.82353	4.88015	5.30386	4.13436	8.32756	3.4276	2.09142	7.75198	4.04129	9.50066	9.41435	12.8246
NW_023496942.1	na	42.0347	61.0484	44.8565	42.4514	51.4296	41.3992	59.9351	52.3035	85.907	51.7594	77.9381	47.0519	83.5751	54.8425	38.791	71.1168	62.9293	53.2331	81.8392	80.7471	74.3279	56.4061	32.5124	34.5691	52.245	48.6807	98.0015	56.6832	60.6617
NW_023496953.1	na	9.43793	7.05605	7.03445	8.19727	11.8844	8.81344	10.3674	8.05053	9.66114	5.88656	9.86582	9.4197	5.18909	6.27193	7.72989	7.14873	5.87887	4.23744	7.18382	5.48191	4.57636	10.8554	2.96696	2.08842	9.24264	5.25023	8.00674	10.7929	16.821
NW_023496943.1	na	50.0387	45.3262	45.1584	40.912	53.0946	44.1186	49.8793	45.3648	52.1014	40.0877	55.9033	40.8858	50.659	42.1359	35.3425	44.5806	57.2335	39.6824	54.8825	49.9196	45.2169	50.0782	27.2494	19.7789	52.2756	27.3282	56.6937	54.5346	67.7763
NW_023496950.1	na	10.9937	7.99378	8.03422	12.3231	18.2737	10.1353	12.1606	9.74379	10.1931	8.08155	14.3516	15.2299	6.07446	9.06798	11.3196	9.47312	7.45301	4.75801	6.55408	6.96206	5.07889	13.5643	3.76621	2.33808	11.5531	7.3802	12.5764	14.1274	21.6061
NW_023496945.1	na	33.2201	32.983	26.4514	24.4901	30.3586	24.9565	38.5002	31.7868	53.1753	22.6647	41.989	30.1253	37.107	26.6305	21.1285	32.7364	28.0881	22.7924	30.9517	36.4867	32.0831	38.0969	13.5081	13.5773	23.7442	26.7114	38.2821	27.8462	42.4916
NW_023496940.1	na	53.323	52.7316	57.347	44.8173	68.1513	56.0669	56.8008	51.4279	59.6541	53.2211	64.9753	46.2128	58.3119	46.5342	42.6982	45.053	71.6331	49.5793	55.5679	57.1794	53.3234	55.1397	32.7788	26.7299	68.0871	31.2113	72.4235	73.9558	81.1829
NW_023496948.1	na	36.9017	43.4197	36.8606	36.1564	43.6526	41.7604	49.5898	39.5402	53.9778	36.0205	55.2949	38.2859	47.3855	30.6443	32.8377	38.3077	36.5347	34.1877	44.0249	42.7423	36.8439	49.6022	22.2815	19.8449	45.1972	29.9195	55.4155	54.3488	63.2004
NW_023496957.1	na	8.99864	12.2401	9.7069	9.15824	11.854	10.1304	11.4178	10.2516	12.7793	11.6094	13.9463	9.33801	15.8204	10.7373	8.41217	12.6101	12.4357	12.2164	14.027	14.7574	12.2731	10.5957	8.07523	5.73079	14.9375	5.09694	14.2542	12.9401	15.597
NW_023496962.1	na	14.3876	15.7494	12.9576	14.6489	20.983	15.192	16.6746	14.7405	15.909	12.505	17.7634	15.4068	18.2387	12.6613	12.3394	14.9361	17.9406	13.6115	16.7394	18.0384	13.7078	17.8741	9.0031	7.04717	22.241	7.5129	18.1175	20.4896	29.5005
NW_023496966.1	na	5.93052	7.95361	6.49257	5.24549	7.63265	6.74375	7.81622	7.01796	8.23882	7.30912	8.87604	5.49394	10.502	6.88764	4.99909	8.42555	8.47841	8.00001	8.93219	9.54643	7.77119	7.02905	5.68616	4.19794	10.1543	4.34784	10.0381	10.1809	10.6492
NW_023496955.1	na	24.5933	29.7667	22.8452	24.564	34.3684	27.0862	31.7403	25.544	32.8119	25.7564	37.5453	26.7094	34.3847	26.7464	21.6392	32.7895	30.505	23.3102	32.2644	32.575	26.2321	32.5666	17.4195	12.1753	36.8117	14.4728	36.8156	38.3714	47.3733
NW_023496952.1	na	38.8662	42.2782	33.2383	38.1557	49.545	32.9527	45.5628	40.6332	61.6547	35.7255	54.2827	42.9739	50.0888	35.7274	38.3271	43.2002	35.9958	29.8992	40.4965	50.1208	43.4288	46.1959	24.3867	25.1869	43.7948	49.0498	76.4452	58.4588	65.2389
NW_023496960.1	na	16.0512	15.184	14.2026	12.3688	17.2239	14.2044	15.9382	14.2634	17.2005	13.3477	19.242	12.8284	16.9099	14.6496	10.3222	14.5767	19.0338	12.4111	17.3764	15.6323	13.1297	15.2394	9.09813	6.084	21.7774	8.307	22.222	19.1393	25.521
NW_023496956.1	na	29.981	22.568	29.4348	22.169	29.82	23.8338	24.7901	24.9884	25.1674	22.3722	27.2631	20.7324	26.2304	22.773	19.811	20.1165	29.8316	24.8773	29.9404	24.6019	22.0864	21.2098	10.0581	10.7508	31.2078	10.2453	25.9566	26.8499	30.7579
NW_023496965.1	na	21.1804	21.5125	16.2085	18.8636	23.9637	15.4746	21.8049	20.033	32.4047	17.6915	30.2758	22.524	25.6796	20.9767	18.4611	26.8149	20.5578	15.754	21.5122	25.8096	22.4945	22.575	10.4975	12.0905	21.6425	22.1938	37.5058	24.2176	29.749
NW_023496968.1	na	7.69694	5.73881	6.01016	9.90951	14.7249	7.61581	8.29157	6.51616	6.28047	6.78496	10.9364	10.6652	4.52898	7.11429	8.50247	7.24082	5.67347	3.90498	4.94477	5.12644	3.9673	9.22938	3.44682	1.98292	8.89992	4.53047	11.2686	11.1197	14.5672
NW_023496963.1	na	33.1593	39.2461	28.5597	35.8783	51.1134	29.4381	33.3184	37.0805	52.2102	34.9491	44.612	37.9266	50.0598	25.1447	39.5521	30.624	25.5784	30.2963	37.8037	51.142	43.2762	41.321	27.0052	30.8075	40.4613	48.7212	66.5882	55.329	59.5086
NW_023496961.1	na	9.06827	6.52547	6.48206	10.0954	15.5172	8.12908	9.69387	7.90544	8.43167	6.60529	11.4561	12.1408	4.97584	7.42896	9.50742	7.78913	6.402	3.97162	5.34861	5.69692	4.52987	11.3158	3.01373	2.01198	9.70379	4.97959	9.97067	10.6362	17.3518
NW_023496958.1	na	33.6754	36.5641	29.2601	31.9701	38.9899	28.7074	42.1104	35.0761	55.5245	29.0878	48.9939	36.9474	40.978	31.4311	28.5551	38.1298	32.7051	25.385	37.2621	41.3784	35.8377	41.3067	15.2017	11.8031	36.9914	29.0125	51.4344	37.2698	49.6569
NW_023496959.1	na	28.7987	30.6928	25.1352	28.5733	35.2613	26.5259	35.0335	30.1569	42.9289	25.8887	41.4732	31.8069	35.9719	26.8495	26.2605	33.1488	27.0929	22.3999	33.5438	34.3114	30.4035	35.2472	14.1166	11.3332	30.5294	21.2725	40.3731	36.8335	43.0361
NW_023496970.1	na	17.5752	14.5865	13.8314	13.041	17.0304	13.3428	16.4157	14.845	18.4888	11.8269	18.5491	14.3372	14.2016	10.8594	11.3922	10.8216	15.0925	10.0683	13.1377	13.0154	10.8561	15.4168	5.88691	4.24265	18.735	7.47204	17.7097	17.4306	25.9045
NW_023496972.1	na	3.94163	6.00258	4.71738	4.18542	4.97777	4.44421	5.86397	5.19973	7.80011	5.47851	7.43579	4.2793	8.62325	5.9208	3.78341	7.0027	6.64915	5.92496	8.6348	8.29864	7.98805	5.34737	5.2053	4.7097	8.28459	7.91181	15.4046	9.39158	9.54557
NW_023496969.1	na	18.9954	22.7569	17.7187	19.3292	24.9532	21.072	24.7211	20.0412	26.9868	19.5616	29.6038	20.6736	25.0278	18.112	19.1741	23.7391	21.4087	17.0609	22.9457	24.4427	19.6932	25.4476	11.5803	8.9404	28.081	12.5315	28.6839	29.7407	37.0666
NW_023496975.1	na	7.88099	13.0741	8.03596	12.1587	14.2279	7.73167	11.7002	10.3393	14.7285	9.58557	15.6993	11.043	12.2539	8.18798	8.86665	13.3042	16.532	6.17504	8.00001	12.5982	9.31374	12.7678	5.6974	2.49076	39.7923	21.3744	48.2002	33.9746	23.9585
NW_023496971.1	na	26.001	31.0717	22.8962	27.4037	36.236	28.1798	34.6066	25.7968	35.5923	25.7249	39.2792	29.1412	35.4578	25.1969	23.2525	31.7805	29.458	20.1522	28.7529	32.6592	24.4234	35.7305	14.4598	10.2671	40.1232	13.7969	36.247	41.2678	56.3108
NW_023496967.1	na	34.4625	36.4515	30.5369	40.7046	46.7791	28.8593	43.0867	35.675	54.9918	30.1066	52.3285	47.3764	42.8516	36.5248	34.6301	41.0946	33.8964	27.4853	39.7719	44.377	38.1357	40.3437	16.8638	13.159	33.4544	26.2218	47.5755	32.3941	42.5396
NW_023496973.1	na	23.7248	22.0126	17.7846	19.9279	24.8008	18.0469	22.9814	21.0858	30.7097	18.3658	29.9865	21.7729	26.5348	22.6389	18.2129	27.8191	23.1557	16.0671	22.5832	26.2091	22.1277	22.3529	13.7618	13.1736	26.2562	23.2802	40.8799	33.0975	34.7997
NW_023496974.1	na	23.8317	27.8525	21.1665	23.217	32.6377	26.1745	30.7859	24.153	30.2908	25.3997	35.2336	24.1381	31.6164	23.1785	21.1822	29.2174	25.9163	20.9151	29.0129	28.8635	21.9282	30.8824	17.2889	11.8546	33.6321	17.3051	37.9474	41.2066	46.8553
NW_023496979.1	na	10.8227	14.6611	11.7242	9.45656	12.2742	12.5721	14.1383	11.6465	15.8748	12.2634	16.4919	9.29122	17.6896	11.3496	8.26797	13.777	13.5497	12.9898	16.9943	15.3261	12.9687	13.6207	8.92415	6.29554	16.0583	6.63096	18.2476	18.3494	20.0914
NW_023496976.1	na	31.0464	32.7574	26.7652	28.1023	35.7383	30.1696	34.3339	30.6287	38.051	27.7679	39.8376	29.3458	34.8567	26.5919	24.6621	31.4478	29.1254	26.7311	34.0021	32.9461	27.7308	36.1782	18.2976	12.1944	38.7715	20.3775	45.1189	50.4061	52.7693
NW_023496980.1	na	10.1632	12.2685	10.0461	9.00185	9.32418	11.2452	12.2744	11.3646	15.5067	10.5252	14.6668	9.73388	14.2511	9.9696	9.61804	12.1599	10.7967	11.9718	13.7555	12.78	12.9927	13.1929	7.79664	6.61572	11.1923	10.4901	16.8793	17.2048	12.6985
NW_023496988.1	na	8.83852	9.12321	8.30891	9.37975	8.96223	8.54022	12.285	7.35765	11.4456	7.26705	14.3301	9.77006	10.563	9.03034	5.27878	11.693	8.00895	7.77254	6.39673	9.78331	8.13444	9.81986	3.60104	4.10112	16.5415	6.10031	17.3044	11.8988	24.0489
NW_023496982.1	na	8.26507	8.85253	7.81224	7.13405	9.77935	8.59595	8.88163	7.22163	7.85278	7.58377	8.78002	6.42776	8.99326	7.28056	5.98434	7.59222	10.5371	6.83314	8.5652	8.59801	7.13645	8.41077	8.99994	5.00097	12.8571	4.6748	18.3388	19.1805	18.5694
NW_023496977.1	na	33.2469	41.1954	31.8708	36.1457	44.4834	34.2774	43.4263	34.618	50.5983	35.1933	54.623	38.6257	45.3631	34.9101	30.9149	45.1275	40.248	29.2754	43.8914	43.9373	37.8793	44.6983	18.2441	12.7602	67.5	31.8775	70.1038	57.3247	78.0398
NW_023496981.1	na	32.7637	36.7809	28.1015	31.8456	42.1265	32.2421	40.2087	32.3184	42.6288	31.8558	46.7733	34.0379	41.0265	30.4906	29.2306	38.0436	41.8287	26.7055	36.2188	38.0319	31.187	40.6186	23.3179	16.1579	63.6997	37.2316	65.5379	59.3561	67.4601
NW_023496985.1	na	29.4685	22.8316	27.2329	16.2043	26.7383	23.0255	19.3587	24.0038	25.4202	19.4864	20.4508	15.6475	24.4818	18.4244	16.6192	19.3091	23.725	20.0932	24.7169	24.3304	23.1881	22.535	17.7517	15.8542	25.0343	25.7404	28.3825	32.3604	32.2534
NW_023496983.1	na	19.0224	16.7221	18.675	15.9961	23.4485	17.1964	18.0491	16.1644	17.757	16.513	20.6446	15.8635	17.9289	18.913	14.6718	18.9889	19.7096	16.0798	24.2037	19.2214	16.9001	17.2299	8.36558	6.23844	23.4238	7.55357	26.7322	27.2101	27.5702
NW_023496986.1	na	34.3957	33.095	26.5104	30.4406	39.4661	25.462	36.6361	32.8444	50.8879	27.9603	45.614	36.4846	42.4251	35.5465	31.9626	48.5731	34.7142	25.0847	36.9954	37.5604	36.6914	34.5248	17.0353	18.715	35.215	33.9644	59.0874	42.1597	48.4706
NW_023496997.1	na	0.906925	0.761931	0.932014	1.58757	1.0911	0.753937	1.51381	0.809339	1.43775	0.799921	1.76921	0.717056	1.45611	0.908192	1.53146	1.19873	0.73241	1.26435	0.84725	1.32006	1.26245	0.818283	1.88674	3.47511	2.51785	3.73542	6.81797	3.10772	3.97523
NW_023496989.1	na	46.9649	46.0247	40.6469	42.2253	54.6335	43.7791	52.3556	41.946	55.3256	39.3808	58.3998	42.0307	52.8439	42.7641	35.1004	49.1799	57.0251	34.6545	48.3885	49.89	41.0349	53.4593	24.9114	21.1003	58.9236	23.2641	51.9338	45.761	72.7638
NW_023496828.1	3R	58.3757	43.8337	52.6139	40.6023	56.8958	45.776	47.7468	46.7782	47.9958	41.3329	51.925	38.1432	46.8757	44.9963	35.639	40.4624	57.8299	42.5655	55.7238	46.8489	44.3675	43.1228	27.4304	21.736	56.7546	21.945	63.3034	67.7412	65.8541
NW_023496994.1	na	14.286	11.049	10.7923	12.4929	18.0959	13.8123	15.9566	12.6745	15.1177	9.80664	15.1078	13.4664	9.07218	10.0007	10.9989	11.2994	9.72456	6.9397	10.3263	8.92275	7.40908	16.8879	5.40146	3.58218	15.4486	8.33515	13.2277	17.6568	27.537
NW_023496998.1	na	8.48511	11.7654	9.69959	7.27093	8.15016	9.38454	12.7589	9.9205	12.7101	9.67566	12.6339	7.57123	15.5568	11.453	7.27663	13.882	13.0916	11.9065	14.6087	15.5086	13.2131	11.0854	8.53697	6.34401	13.8501	5.75565	13.038	13.2089	16.71
NW_023496990.1	na	16.18	11.7464	11.9618	12.9952	18.5882	14.4216	17.5479	13.5988	17.809	9.67939	16.6505	14.8854	8.11696	10.3961	12.8709	11.82	9.0827	6.52706	11.0627	8.79379	7.51433	18.8086	4.98717	3.18797	14.8038	9.97656	13.7574	17.779	27.5065
NW_023496993.1	na	22.1678	27.3906	20.753	22.9886	30.1004	25.0662	30.7816	22.2445	29.6748	23.3873	35.3207	24.5801	31.1792	21.8149	19.6244	27.5372	27.1507	18.981	24.2138	28.7739	22.5882	31.0024	15.0928	11.5797	35.6143	15.4401	35.6726	38.5841	49.2336
NW_023497001.1	na	9.52089	10.6736	8.65354	8.31687	11.1757	9.52596	11.3673	9.1572	11.5844	9.51169	12.4581	8.26107	12.3225	9.32216	7.17565	11.2848	10.6325	8.99917	11.5839	11.4241	9.29171	11.2173	8.13189	5.03908	13.8648	7.15327	18.2021	17.9503	17.8857
NW_023496992.1	na	10.3733	8.71892	8.11218	10.8356	15.4944	9.95086	11.3714	9.45578	10.8041	8.46386	12.3744	12.1322	8.00626	9.17717	10.3459	9.85447	9.43469	6.62217	8.71327	8.63462	6.91752	12.0481	5.32717	3.39692	12.4002	6.6027	13.2792	13.6794	18.5222
NW_023496999.1	na	7.90001	5.83954	5.61508	7.73751	12.0811	7.28654	7.93724	6.34129	6.96423	5.52085	9.03793	9.25732	4.43169	7.08485	7.83012	6.90959	5.52502	3.94676	4.95403	4.99585	4.1406	9.21714	2.92358	2.00496	8.16554	4.62139	8.95096	10.5925	14.4077
NW_023496984.1	na	36.7175	41.3511	33.669	41.6295	52.1154	30.7415	45.4532	38.6591	60.526	34.8574	56.913	50.4849	48.1534	38.708	37.5194	43.4445	38.6775	30.0067	46.8274	48.9895	43.972	42.7301	18.4943	16.1433	34.5705	34.6619	56.7744	39.0139	47.6419
NW_023497006.1	na	13.2041	11.4918	10.2488	12.029	16.9257	12.9011	15.1935	12.0785	15.5591	9.39845	15.9512	14.0451	8.82865	9.87209	11.2952	11.5999	9.7815	6.2998	11.0672	9.4838	8.06561	16.7467	4.61312	3.16301	16.3477	9.61406	16.6781	16.5758	25.5175
NW_023497002.1	na	3.01502	5.12963	4.43016	2.75996	3.89436	4.52509	5.5067	4.06272	4.4814	4.55388	4.54898	3.13561	7.89659	6.79498	2.86175	9.00415	7.42267	5.86749	8.59926	8.36306	6.69954	4.89922	6.04843	2.22871	5.85981	2.18147	5.50923	7.17948	7.01983
NW_023496843.1	X	36.7262	33.6008	35.1459	25.7343	49.4804	36.1559	24.2019	33.1101	30.2499	35.7509	28.3894	21.8599	38.7544	23.8545	31.2674	27.2033	37.3614	31.8121	41.2908	36.9491	30.1185	32.5151	28.3977	19.9305	34.5742	22.2725	42.9791	56.2213	47.2542
NW_023496991.1	na	61.4701	83.1799	61.5868	60.3098	76.1925	58.4158	87.5783	74.0616	122.127	67.2914	104.032	65.2749	107.308	72.7312	53.1082	88.9773	77.2484	67.1218	94.165	104.544	91.2649	80.1139	38.9034	38.8128	67.2514	59.9543	111.04	69.3921	92.1248
