Chr	Contig	Window	Start	End	Length	Number of filtered sites	Number of SNPs
auto	NW_023496800.1	7	3773599	4089874	316276	2253	1835
auto	NW_023496800.1	8	4089875	4301170	211296	2332	1898
auto	NW_023496800.1	9	4301171	4468279	167109	3242	2541
auto	NW_023496800.1	10	4468280	4671884	203605	2898	2324
auto	NW_023496800.1	11	4671885	4774961	103077	1697	1408
auto	NW_023496800.1	12	4774962	4906814	131853	1853	1490
auto	NW_023496800.1	13	4906815	5065056	158242	1391	1246
auto	NW_023496800.1	14	5065057	5139111	74055	1517	1306
auto	NW_023496800.1	15	5139112	5267571	128460	2260	1888
auto	NW_023496800.1	16	5267572	5604791	337220	3364	2700
auto	NW_023496800.1	17	5604792	5749251	144460	1910	1598
auto	NW_023496800.1	18	5749252	5784066	34815	1270	1084
auto	NW_023496800.1	19	5784067	6183971	399905	2075	1702
auto	NW_023496800.1	20	6183972	6291556	107585	1937	1569
auto	NW_023496800.1	21	6291557	6460107	168551	2010	1657
auto	NW_023496800.1	22	6460108	6533687	73580	2526	2008
auto	NW_023496800.1	23	6533688	6725400	191713	2271	1856
auto	NW_023496800.1	24	6725401	6954840	229440	1920	1611
auto	NW_023496800.1	25	6954841	7662408	707568	2336	1927
auto	NW_023496800.1	26	7662409	7755993	93585	2142	1759
auto	NW_023496800.1	27	7755994	7807292	51299	2232	1826
auto	NW_023496800.1	28	7807293	8065386	258094	1992	1732
auto	NW_023496800.1	29	8065387	8125125	59739	1220	1064
auto	NW_023496800.1	30	8125126	8392069	266944	1896	1623
auto	NW_023496800.1	31	8392070	8629253	237184	2220	1849
auto	NW_023496800.1	32	8629254	8661998	32745	993	897
auto	NW_023496800.1	33	8661999	8667957	5959	878	828
auto	NW_023496800.1	34	8667958	8785012	117055	1669	1487
auto	NW_023496800.1	35	8785013	8941732	156720	2201	1846
auto	NW_023496800.1	36	8941733	9007400	65668	1509	1314
auto	NW_023496800.1	37	9007401	9084438	77038	2154	1768
auto	NW_023496800.1	38	9084439	9179969	95531	1261	1112
auto	NW_023496800.1	39	9179970	9311357	131388	1817	1568
auto	NW_023496800.1	40	9311358	9525195	213838	1113	966
auto	NW_023496800.1	41	9525196	9723154	197959	912	835
auto	NW_023496800.1	42	9723155	9875805	152651	1821	1538
auto	NW_023496800.1	43	9875806	10076295	200490	1440	1239
auto	NW_023496800.1	44	10076296	10244110	167815	1342	1212
auto	NW_023496800.1	45	10244111	10340912	96802	999	917
auto	NW_023496800.1	46	10340913	10530668	189756	1502	1326
auto	NW_023496800.1	47	10530669	10536528	5860	931	853
auto	NW_023496800.1	48	10536529	10577097	40569	1017	935
auto	NW_023496800.1	49	10577098	10654742	77645	1464	1297
auto	NW_023496800.1	50	10654743	10888128	233386	1359	1202
auto	NW_023496800.1	51	10888129	10999138	111010	1835	1632
auto	NW_023496800.1	52	10999139	11093657	94519	1561	1348
auto	NW_023496800.1	53	11093658	11149174	55517	1591	1351
auto	NW_023496800.1	54	11149175	11298346	149172	2076	1727
auto	NW_023496800.1	55	11298347	11445835	147489	2476	1965
auto	NW_023496800.1	56	11445836	11512993	67158	1152	1036
auto	NW_023496800.1	57	11512994	11648607	135614	1475	1295
auto	NW_023496800.1	58	11648608	11696603	47996	1266	1132
auto	NW_023496800.1	59	11696604	12035742	339139	1928	1643
auto	NW_023496800.1	60	12035743	12224843	189101	1787	1515
auto	NW_023496800.1	61	12224844	12239645	14802	1264	1094
auto	NW_023496800.1	62	12239646	12564444	324799	1693	1445
auto	NW_023496800.1	63	12564445	12753264	188820	1791	1478
auto	NW_023496800.1	64	12753265	12795262	41998	1464	1292
auto	NW_023496800.1	65	12795263	12852247	56985	1542	1309
auto	NW_023496800.1	66	12852248	13449979	597732	2031	1703
auto	NW_023496800.1	67	13449980	13513147	63168	1621	1395
auto	NW_023496800.1	68	13513148	13623184	110037	3107	2490
auto	NW_023496800.1	69	13623185	13789251	166067	1203	1067
auto	NW_023496800.1	70	13789252	13816863	27612	1300	1176
auto	NW_023496800.1	71	13816864	13955319	138456	1760	1536
auto	NW_023496800.1	72	13955320	13996860	41541	1919	1603
auto	NW_023496800.1	73	13996861	14026927	30067	1781	1538
auto	NW_023496800.1	74	14026928	14208421	181494	1929	1712
auto	NW_023496800.1	75	14208422	14421990	213569	1075	999
auto	NW_023496800.1	76	14421991	14547417	125427	1375	1245
auto	NW_023496800.1	77	14547418	14911528	364111	1913	1668
auto	NW_023496800.1	78	14911529	15170992	259464	1905	1604
auto	NW_023496800.1	79	15170993	15253990	82998	1251	1144
auto	NW_023496800.1	80	15253991	15540335	286345	1761	1512
auto	NW_023496800.1	81	15540336	15852826	312491	1531	1363
auto	NW_023496800.1	82	15852827	16211253	358427	1443	1255
auto	NW_023496800.1	83	16211254	16447964	236711	1680	1444
auto	NW_023496800.1	84	16447965	16665542	217578	1708	1481
auto	NW_023496800.1	85	16665543	16756933	91391	1321	1226
auto	NW_023496800.1	86	16756934	16911047	154114	1472	1333
auto	NW_023496800.1	87	16911048	17050601	139554	1677	1445
auto	NW_023496800.1	88	17050602	17215942	165341	1590	1323
auto	NW_023496800.1	89	17215943	17379947	164005	1568	1383
auto	NW_023496800.1	90	17379948	17656403	276456	1464	1276
auto	NW_023496800.1	91	17656404	17881510	225107	1434	1265
auto	NW_023496800.1	92	17881511	17950399	68889	1445	1289
auto	NW_023496800.1	93	17950400	18124890	174491	1927	1681
auto	NW_023496800.1	94	18124891	18229470	104580	2508	2015
auto	NW_023496800.1	95	18229471	18624708	395238	1813	1541
auto	NW_023496800.1	96	18624709	18729125	104417	1715	1471
auto	NW_023496800.1	97	18729126	18804109	74984	1733	1498
auto	NW_023496800.1	98	18804110	18969745	165636	1582	1403
auto	NW_023496800.1	99	18969746	19036943	67198	1422	1317
auto	NW_023496800.1	100	19036944	19131636	94693	1205	1136
auto	NW_023496800.1	101	19131637	19283154	151518	1873	1663
auto	NW_023496800.1	102	19283155	19337488	54334	1678	1442
auto	NW_023496800.1	103	19337489	19368300	30812	1222	1082
auto	NW_023496800.1	104	19368301	19380985	12685	1071	968
auto	NW_023496800.1	105	19380986	19529639	148654	1976	1708
auto	NW_023496800.1	106	19529640	19712442	182803	1941	1670
auto	NW_023496800.1	107	19712443	19900344	187902	1307	1188
auto	NW_023496800.1	108	19900345	19949980	49636	1160	1076
auto	NW_023496800.1	109	19949981	20031260	81280	1363	1213
auto	NW_023496800.1	110	20031261	20333351	302091	1953	1692
auto	NW_023496800.1	111	20333352	20512400	179049	1691	1401
auto	NW_023496800.1	112	20512401	20537754	25354	1370	1196
auto	NW_023496800.1	113	20537755	20616304	78550	1888	1637
auto	NW_023496800.1	114	20616305	20649001	32697	1374	1235
auto	NW_023496800.1	115	20649002	20878964	229963	1922	1651
auto	NW_023496800.1	116	20878965	20925180	46216	1454	1278
auto	NW_023496800.1	117	20925181	20978389	53209	1539	1365
auto	NW_023496800.1	118	20978390	21127613	149224	1757	1511
auto	NW_023496800.1	119	21127614	21175859	48246	1340	1209
auto	NW_023496800.1	120	21175860	21237336	61477	1733	1562
auto	NW_023496800.1	121	21237337	21312358	75022	1955	1695
auto	NW_023496800.1	122	21312359	21355771	43413	1488	1307
auto	NW_023496800.1	123	21355772	21522292	166521	1788	1517
auto	NW_023496800.1	124	21522293	21634044	111752	2189	1798
auto	NW_023496800.1	125	21634045	21888605	254561	1933	1677
auto	NW_023496800.1	126	21888606	21967380	78775	2526	2160
auto	NW_023496800.1	127	21967381	22067570	100190	1958	1695
auto	NW_023496800.1	128	22067571	22087770	20200	1937	1744
auto	NW_023496800.1	129	22087771	22139188	51418	3892	2943
auto	NW_023496800.1	130	22139189	22157713	18525	1065	981
auto	NW_023496800.1	131	22157714	22324390	166677	1768	1588
auto	NW_023496800.1	132	22324391	22547037	222647	2088	1819
auto	NW_023496800.1	133	22547038	22865337	318300	1968	1660
auto	NW_023496800.1	134	22865338	23114052	248715	1944	1667
auto	NW_023496800.1	135	23114053	23204421	90369	1321	1167
auto	NW_023496800.1	136	23204422	23600998	396577	2689	2063
auto	NW_023496800.1	137	23600999	23779013	178015	3071	2439
auto	NW_023496800.1	138	23779014	24037758	258745	2387	1941
auto	NW_023496800.1	139	24037759	24434121	396363	3049	2377
auto	NW_023496800.1	140	24434122	24607200	173079	1814	1521
auto	NW_023496800.1	141	24607201	24831064	223864	2455	2013
auto	NW_023496800.1	142	24831065	25043694	212630	3953	3019
auto	NW_023496800.1	143	25043695	25403413	359719	8045	5759
X	NW_023496847.1	0	1	295384	295384	2478	1959
X	NW_023496847.1	1	295385	565760	270376	2067	1687
X	NW_023496843.1	0	1	2051601	2051601	6911	4526
X	NW_023496841.1	0	1	113050	113050	2760	2238
X	NW_023496841.1	1	113051	597236	484186	5076	3718
X	NW_023496841.1	2	597237	999078	401842	4447	3349
X	NW_023496841.1	3	999079	1405210	406132	4885	3459
X	NW_023496841.1	4	1405211	1936019	530809	2880	2307
X	NW_023496841.1	5	1936020	2587877	651858	3249	2487
X	NW_023496841.1	6	2587878	2942029	354152	3385	2505
X	NW_023496841.1	7	2942030	3313870	371841	2529	2014
X	NW_023496841.1	8	3313871	3742624	428754	2647	1961
X	NW_023496846.1	0	1	381074	381074	5666	4123
X	NW_023496846.1	1	381075	1243441	862367	4052	2987
X	NW_023496846.1	2	1243442	1746228	502787	3499	2680
X	NW_023496846.1	3	1746229	1884149	137921	3051	2217
X	NW_023496846.1	4	1884150	2132134	247985	2399	1910
X	NW_023496846.1	5	2132135	2445658	313524	3865	2831
X	NW_023496846.1	6	2445659	2612431	166773	2166	1860
X	NW_023496846.1	7	2612432	2969786	357355	3861	2908
X	NW_023496846.1	8	2969787	3215133	245347	2332	1823
X	NW_023496846.1	9	3215134	3380310	165177	2345	1885
X	NW_023496846.1	10	3380311	3766358	386048	3753	2809
X	NW_023496846.1	11	3766359	3887003	120645	2582	2169
X	NW_023496846.1	12	3887004	4085360	198357	3261	2497
X	NW_023496846.1	13	4085361	4555225	469865	3131	2454
X	NW_023496846.1	14	4555226	4620356	65131	1958	1580
X	NW_023496846.1	15	4620357	4746325	125969	1492	1309
X	NW_023496846.1	16	4746326	4787395	41070	1310	1156
X	NW_023496846.1	17	4787396	4823920	36525	993	923
X	NW_023496846.1	18	4823921	5001970	178050	2406	1862
X	NW_023496846.1	19	5001971	5446725	444755	3240	2427
X	NW_023496846.1	20	5446726	5563074	116349	3071	2441
X	NW_023496846.1	21	5563075	5954143	391069	2935	2361
X	NW_023496846.1	22	5954144	6316615	362472	2657	2139
X	NW_023496845.1	0	1	1068221	1068221	10779	6866
X	NW_023496845.1	1	1068222	1400411	332190	7735	5306
X	NW_023496845.1	2	1400412	2049162	648751	6906	5166
X	NW_023496845.1	3	2049163	2903650	854488	6632	5046
X	NW_023496845.1	4	2903651	3825136	921486	7048	5278
X	NW_023496845.1	5	3825137	4214670	389534	6676	4838
X	NW_023496845.1	6	4214671	4960794	746124	6700	4783
X	NW_023496845.1	7	4960795	5906441	945647	6105	4544
X	NW_023496845.1	8	5906442	6266198	359757	5696	4260
X	NW_023496845.1	9	6266199	6743288	477090	5046	3636
X	NW_023496845.1	10	6743289	6997566	254278	4459	3284
X	NW_023496845.1	11	6997567	7236498	238932	4050	3109
X	NW_023496845.1	12	7236499	7433597	197099	3563	2776
X	NW_023496845.1	13	7433598	7555901	122304	2862	2399
X	NW_023496845.1	14	7555902	7717684	161783	3837	3101
X	NW_023496845.1	15	7717685	8043032	325348	3429	2709
X	NW_023496845.1	16	8043033	8661437	618405	4818	3773
X	NW_023496845.1	17	8661438	8853341	191904	2125	1761
X	NW_023496845.1	18	8853342	9018399	165058	1598	1431
X	NW_023496845.1	19	9018400	9039880	21481	1363	1222
X	NW_023496845.1	20	9039881	9289934	250054	2640	2220
X	NW_023496845.1	21	9289935	9836667	546733	3112	2337
X	NW_023496845.1	22	9836668	9970334	133667	2252	1775
X	NW_023496845.1	23	9970335	10415634	445300	2096	1655
X	NW_023496845.1	24	10415635	10690887	275253	2634	2046
X	NW_023496845.1	25	10690888	10862663	171776	2518	2058
X	NW_023496845.1	26	10862664	10935754	73091	2177	1776
X	NW_023496845.1	27	10935755	11400279	464525	2367	1971
X	NW_023496845.1	28	11400280	11464921	64642	2099	1654
X	NW_023496845.1	29	11464922	12014913	549992	3128	2226
X	NW_023496845.1	30	12014914	12407603	392690	1794	1511
X	NW_023496845.1	31	12407604	12702173	294570	2345	1887
X	NW_023496845.1	32	12702174	12973397	271224	2319	1859
X	NW_023496845.1	33	12973398	13136721	163324	4040	2945
X	NW_023496845.1	34	13136722	13301635	164914	2586	2046
X	NW_023496845.1	35	13301636	13645833	344198	2841	2267
