# Assembly name:  LBDM_Dsuz_2.1.pri
# Organism name:  Drosophila suzukii (flies)
# Infraspecific name:  strain=WT3_2.0
# Taxid:          28584
# BioSample:      SAMN13521054
# BioProject:     PRJNA594550
# Submitter:      Institut de Biologie du Developpement de Marseille
# Date:           2020-06-15
# Assembly type:  haploid (principal pseudohaplotype of diploid)
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    WWNF01
# Assembly method: FALCON v. 2.3.0; CANU v. 1.3; Quickmerge v. 2017/03/15
# Expected final version: yes
# Genome coverage: 160.0x
# Sequencing technology: PacBio Sequel
# GenBank assembly accession: GCA_013340165.1
# RefSeq assembly accession: GCF_013340165.1
# RefSeq assembly and GenBank assemblies identical: yes
# Linked assembly: GCA_013340185.1 (alternate pseudohaplotype of diploid)
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_013340175.1	GCF_013340175.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Contig_17	assembled-molecule	4	Chromosome	CM023447.1	=	NC_050699.1	Primary Assembly	2568912	na
Contig_333	unplaced-scaffold	na	na	WWNF01000273.1	=	NW_023497026.1	Primary Assembly	64137	na
Contig_334	unplaced-scaffold	na	na	WWNF01000274.1	=	NW_023497027.1	Primary Assembly	63371	na
Contig_335	unplaced-scaffold	na	na	WWNF01000275.1	=	NW_023497028.1	Primary Assembly	62387	na
Contig_336	unplaced-scaffold	na	na	WWNF01000276.1	=	NW_023497029.1	Primary Assembly	61650	na
Contig_339	unplaced-scaffold	na	na	WWNF01000277.1	=	NW_023497030.1	Primary Assembly	58963	na
Contig_340	unplaced-scaffold	na	na	WWNF01000278.1	=	NW_023497031.1	Primary Assembly	59201	na
Contig_341	unplaced-scaffold	na	na	WWNF01000279.1	=	NW_023497032.1	Primary Assembly	58783	na
Contig_344	unplaced-scaffold	na	na	WWNF01000280.1	=	NW_023497033.1	Primary Assembly	57991	na
Contig_347	unplaced-scaffold	na	na	WWNF01000282.1	=	NW_023497034.1	Primary Assembly	57151	na
Contig_348	unplaced-scaffold	na	na	WWNF01000283.1	=	NW_023497035.1	Primary Assembly	57073	na
Contig_349	unplaced-scaffold	na	na	WWNF01000284.1	=	NW_023497036.1	Primary Assembly	56806	na
Contig_35	unplaced-scaffold	na	na	WWNF01000035.1	=	NW_023497037.1	Primary Assembly	1486833	na
Contig_350	unplaced-scaffold	na	na	WWNF01000285.1	=	NW_023497038.1	Primary Assembly	56062	na
Contig_352	unplaced-scaffold	na	na	WWNF01000286.1	=	NW_023497039.1	Primary Assembly	55033	na
Contig_353	unplaced-scaffold	na	na	WWNF01000287.1	=	NW_023497040.1	Primary Assembly	54714	na
Contig_356	unplaced-scaffold	na	na	WWNF01000288.1	=	NW_023497041.1	Primary Assembly	54512	na
Contig_358	unplaced-scaffold	na	na	WWNF01000290.1	=	NW_023497042.1	Primary Assembly	53979	na
Contig_359	unplaced-scaffold	na	na	WWNF01000291.1	=	NW_023497043.1	Primary Assembly	53581	na
Contig_36	unplaced-scaffold	na	na	WWNF01000036.1	=	NW_023497044.1	Primary Assembly	1482007	na
Contig_360	unplaced-scaffold	na	na	WWNF01000292.1	=	NW_023497045.1	Primary Assembly	53705	na
Contig_361	unplaced-scaffold	na	na	WWNF01000293.1	=	NW_023497046.1	Primary Assembly	52982	na
Contig_362	unplaced-scaffold	na	na	WWNF01000294.1	=	NW_023497047.1	Primary Assembly	52772	na
Contig_363	unplaced-scaffold	na	na	WWNF01000295.1	=	NW_023497048.1	Primary Assembly	53226	na
Contig_365	unplaced-scaffold	na	na	WWNF01000296.1	=	NW_023497049.1	Primary Assembly	52094	na
Contig_367	unplaced-scaffold	na	na	WWNF01000297.1	=	NW_023497050.1	Primary Assembly	51890	na
Contig_368	unplaced-scaffold	na	na	WWNF01000298.1	=	NW_023497051.1	Primary Assembly	51913	na
Contig_369	unplaced-scaffold	na	na	WWNF01000299.1	=	NW_023497052.1	Primary Assembly	51763	na
Contig_37	unplaced-scaffold	na	na	WWNF01000037.1	=	NW_023497053.1	Primary Assembly	1474060	na
Contig_373	unplaced-scaffold	na	na	WWNF01000300.1	=	NW_023497054.1	Primary Assembly	50976	na
Contig_375	unplaced-scaffold	na	na	WWNF01000301.1	=	NW_023497055.1	Primary Assembly	50354	na
Contig_377	unplaced-scaffold	na	na	WWNF01000302.1	=	NW_023497056.1	Primary Assembly	49917	na
Contig_381	unplaced-scaffold	na	na	WWNF01000303.1	=	NW_023497057.1	Primary Assembly	48803	na
Contig_382	unplaced-scaffold	na	na	WWNF01000304.1	=	NW_023497058.1	Primary Assembly	48548	na
Contig_383	unplaced-scaffold	na	na	WWNF01000305.1	=	NW_023497059.1	Primary Assembly	48466	na
Contig_384	unplaced-scaffold	na	na	WWNF01000306.1	=	NW_023497060.1	Primary Assembly	48319	na
Contig_385	unplaced-scaffold	na	na	WWNF01000307.1	=	NW_023497061.1	Primary Assembly	48023	na
Contig_386	unplaced-scaffold	na	na	WWNF01000308.1	=	NW_023497062.1	Primary Assembly	47608	na
Contig_387	unplaced-scaffold	na	na	WWNF01000309.1	=	NW_023497063.1	Primary Assembly	47411	na
Contig_388	unplaced-scaffold	na	na	WWNF01000310.1	=	NW_023497064.1	Primary Assembly	47338	na
Contig_389	unplaced-scaffold	na	na	WWNF01000311.1	=	NW_023497065.1	Primary Assembly	47475	na
Contig_39	unplaced-scaffold	na	na	WWNF01000039.1	=	NW_023497066.1	Primary Assembly	1356072	na
Contig_390	unplaced-scaffold	na	na	WWNF01000312.1	=	NW_023497067.1	Primary Assembly	47284	na
Contig_391	unplaced-scaffold	na	na	WWNF01000313.1	=	NW_023497068.1	Primary Assembly	47402	na
Contig_392	unplaced-scaffold	na	na	WWNF01000314.1	=	NW_023497069.1	Primary Assembly	46904	na
Contig_394	unplaced-scaffold	na	na	WWNF01000315.1	=	NW_023497070.1	Primary Assembly	46518	na
Contig_395	unplaced-scaffold	na	na	WWNF01000316.1	=	NW_023497071.1	Primary Assembly	45940	na
Contig_396	unplaced-scaffold	na	na	WWNF01000317.1	=	NW_023497072.1	Primary Assembly	45609	na
Contig_397	unplaced-scaffold	na	na	WWNF01000318.1	=	NW_023497073.1	Primary Assembly	45242	na
Contig_398	unplaced-scaffold	na	na	WWNF01000319.1	=	NW_023497074.1	Primary Assembly	45141	na
Contig_399	unplaced-scaffold	na	na	WWNF01000320.1	=	NW_023497075.1	Primary Assembly	45062	na
Contig_40	unplaced-scaffold	na	na	WWNF01000040.1	=	NW_023497076.1	Primary Assembly	1287511	na
Contig_400	unplaced-scaffold	na	na	WWNF01000321.1	=	NW_023497077.1	Primary Assembly	44795	na
Contig_402	unplaced-scaffold	na	na	WWNF01000323.1	=	NW_023497078.1	Primary Assembly	44561	na
Contig_403	unplaced-scaffold	na	na	WWNF01000324.1	=	NW_023497079.1	Primary Assembly	44528	na
Contig_404	unplaced-scaffold	na	na	WWNF01000325.1	=	NW_023497080.1	Primary Assembly	44460	na
Contig_405	unplaced-scaffold	na	na	WWNF01000326.1	=	NW_023497081.1	Primary Assembly	44344	na
Contig_406	unplaced-scaffold	na	na	WWNF01000327.1	=	NW_023497082.1	Primary Assembly	43957	na
Contig_407	unplaced-scaffold	na	na	WWNF01000328.1	=	NW_023497083.1	Primary Assembly	43901	na
Contig_408	unplaced-scaffold	na	na	WWNF01000329.1	=	NW_023497084.1	Primary Assembly	43868	na
Contig_409	unplaced-scaffold	na	na	WWNF01000330.1	=	NW_023497085.1	Primary Assembly	43810	na
Contig_41	unplaced-scaffold	na	na	WWNF01000041.1	=	NW_023497086.1	Primary Assembly	1276832	na
Contig_412	unplaced-scaffold	na	na	WWNF01000331.1	=	NW_023497087.1	Primary Assembly	43243	na
Contig_413	unplaced-scaffold	na	na	WWNF01000332.1	=	NW_023497088.1	Primary Assembly	43124	na
Contig_414	unplaced-scaffold	na	na	WWNF01000333.1	=	NW_023497089.1	Primary Assembly	43078	na
Contig_415	unplaced-scaffold	na	na	WWNF01000334.1	=	NW_023497090.1	Primary Assembly	43012	na
Contig_416	unplaced-scaffold	na	na	WWNF01000335.1	=	NW_023497091.1	Primary Assembly	42693	na
Contig_419	unplaced-scaffold	na	na	WWNF01000336.1	=	NW_023497092.1	Primary Assembly	41390	na
Contig_42	unplaced-scaffold	na	na	WWNF01000042.1	=	NW_023497093.1	Primary Assembly	1232255	na
Contig_421	unplaced-scaffold	na	na	WWNF01000337.1	=	NW_023497094.1	Primary Assembly	41290	na
Contig_422	unplaced-scaffold	na	na	WWNF01000338.1	=	NW_023497095.1	Primary Assembly	40636	na
Contig_423	unplaced-scaffold	na	na	WWNF01000339.1	=	NW_023497096.1	Primary Assembly	40594	na
Contig_425	unplaced-scaffold	na	na	WWNF01000340.1	=	NW_023497097.1	Primary Assembly	40555	na
Contig_426	unplaced-scaffold	na	na	WWNF01000341.1	=	NW_023497098.1	Primary Assembly	40248	na
Contig_427	unplaced-scaffold	na	na	WWNF01000342.1	=	NW_023497099.1	Primary Assembly	40193	na
Contig_428	unplaced-scaffold	na	na	WWNF01000343.1	=	NW_023497100.1	Primary Assembly	40150	na
Contig_429	unplaced-scaffold	na	na	WWNF01000344.1	=	NW_023497101.1	Primary Assembly	40006	na
Contig_43	unplaced-scaffold	na	na	WWNF01000043.1	=	NW_023497102.1	Primary Assembly	1219375	na
Contig_430	unplaced-scaffold	na	na	WWNF01000345.1	=	NW_023497103.1	Primary Assembly	39517	na
Contig_432	unplaced-scaffold	na	na	WWNF01000347.1	=	NW_023497104.1	Primary Assembly	39554	na
Contig_433	unplaced-scaffold	na	na	WWNF01000348.1	=	NW_023497105.1	Primary Assembly	39467	na
Contig_434	unplaced-scaffold	na	na	WWNF01000349.1	=	NW_023497106.1	Primary Assembly	39352	na
Contig_435	unplaced-scaffold	na	na	WWNF01000350.1	=	NW_023497107.1	Primary Assembly	39583	na
Contig_437	unplaced-scaffold	na	na	WWNF01000351.1	=	NW_023497108.1	Primary Assembly	39279	na
Contig_439	unplaced-scaffold	na	na	WWNF01000352.1	=	NW_023497109.1	Primary Assembly	39109	na
Contig_440	unplaced-scaffold	na	na	WWNF01000353.1	=	NW_023497110.1	Primary Assembly	39317	na
Contig_441	unplaced-scaffold	na	na	WWNF01000354.1	=	NW_023497111.1	Primary Assembly	39038	na
Contig_443	unplaced-scaffold	na	na	WWNF01000355.1	=	NW_023497112.1	Primary Assembly	38841	na
Contig_444	unplaced-scaffold	na	na	WWNF01000356.1	=	NW_023497113.1	Primary Assembly	38688	na
Contig_445	unplaced-scaffold	na	na	WWNF01000357.1	=	NW_023497114.1	Primary Assembly	38404	na
Contig_446	unplaced-scaffold	na	na	WWNF01000358.1	=	NW_023497115.1	Primary Assembly	38005	na
Contig_447	unplaced-scaffold	na	na	WWNF01000359.1	=	NW_023497116.1	Primary Assembly	37903	na
Contig_449	unplaced-scaffold	na	na	WWNF01000360.1	=	NW_023497117.1	Primary Assembly	37691	na
Contig_45	unplaced-scaffold	na	na	WWNF01000045.1	=	NW_023497118.1	Primary Assembly	1195625	na
Contig_450	unplaced-scaffold	na	na	WWNF01000361.1	=	NW_023497119.1	Primary Assembly	37545	na
Contig_451	unplaced-scaffold	na	na	WWNF01000362.1	=	NW_023497120.1	Primary Assembly	37883	na
Contig_452	unplaced-scaffold	na	na	WWNF01000363.1	=	NW_023497121.1	Primary Assembly	37540	na
Contig_455	unplaced-scaffold	na	na	WWNF01000364.1	=	NW_023497122.1	Primary Assembly	37278	na
Contig_456	unplaced-scaffold	na	na	WWNF01000365.1	=	NW_023497123.1	Primary Assembly	37089	na
Contig_457	unplaced-scaffold	na	na	WWNF01000366.1	=	NW_023497124.1	Primary Assembly	37102	na
Contig_458	unplaced-scaffold	na	na	WWNF01000367.1	=	NW_023497125.1	Primary Assembly	37027	na
Contig_459	unplaced-scaffold	na	na	WWNF01000368.1	=	NW_023497126.1	Primary Assembly	36862	na
Contig_46	unplaced-scaffold	na	na	WWNF01000046.1	=	NW_023497127.1	Primary Assembly	1172559	na
Contig_460	unplaced-scaffold	na	na	WWNF01000369.1	=	NW_023497128.1	Primary Assembly	36886	na
Contig_462	unplaced-scaffold	na	na	WWNF01000370.1	=	NW_023497129.1	Primary Assembly	36549	na
Contig_464	unplaced-scaffold	na	na	WWNF01000371.1	=	NW_023497130.1	Primary Assembly	36427	na
Contig_465	unplaced-scaffold	na	na	WWNF01000372.1	=	NW_023497131.1	Primary Assembly	36316	na
Contig_467	unplaced-scaffold	na	na	WWNF01000373.1	=	NW_023497132.1	Primary Assembly	36208	na
Contig_468	unplaced-scaffold	na	na	WWNF01000374.1	=	NW_023497133.1	Primary Assembly	35906	na
Contig_469	unplaced-scaffold	na	na	WWNF01000375.1	=	NW_023497134.1	Primary Assembly	35667	na
Contig_47	unplaced-scaffold	na	na	WWNF01000047.1	=	NW_023497135.1	Primary Assembly	1170890	na
Contig_470	unplaced-scaffold	na	na	WWNF01000376.1	=	NW_023497136.1	Primary Assembly	35612	na
Contig_471	unplaced-scaffold	na	na	WWNF01000377.1	=	NW_023497137.1	Primary Assembly	35629	na
Contig_472	unplaced-scaffold	na	na	WWNF01000378.1	=	NW_023497138.1	Primary Assembly	35524	na
Contig_473	unplaced-scaffold	na	na	WWNF01000379.1	=	NW_023497139.1	Primary Assembly	35326	na
Contig_474	unplaced-scaffold	na	na	WWNF01000380.1	=	NW_023497140.1	Primary Assembly	35206	na
Contig_475	unplaced-scaffold	na	na	WWNF01000381.1	=	NW_023497141.1	Primary Assembly	35210	na
Contig_477	unplaced-scaffold	na	na	WWNF01000382.1	=	NW_023497142.1	Primary Assembly	35037	na
Contig_479	unplaced-scaffold	na	na	WWNF01000383.1	=	NW_023497143.1	Primary Assembly	34549	na
Contig_48	unplaced-scaffold	na	na	WWNF01000048.1	=	NW_023497144.1	Primary Assembly	1152759	na
Contig_480	unplaced-scaffold	na	na	WWNF01000384.1	=	NW_023497145.1	Primary Assembly	34760	na
Contig_483	unplaced-scaffold	na	na	WWNF01000385.1	=	NW_023497146.1	Primary Assembly	34472	na
Contig_484	unplaced-scaffold	na	na	WWNF01000386.1	=	NW_023497147.1	Primary Assembly	34420	na
Contig_485	unplaced-scaffold	na	na	WWNF01000387.1	=	NW_023497148.1	Primary Assembly	34128	na
Contig_486	unplaced-scaffold	na	na	WWNF01000388.1	=	NW_023497149.1	Primary Assembly	33988	na
Contig_487	unplaced-scaffold	na	na	WWNF01000389.1	=	NW_023497150.1	Primary Assembly	34125	na
Contig_489	unplaced-scaffold	na	na	WWNF01000390.1	=	NW_023497151.1	Primary Assembly	33817	na
Contig_490	unplaced-scaffold	na	na	WWNF01000391.1	=	NW_023497152.1	Primary Assembly	33852	na
Contig_491	unplaced-scaffold	na	na	WWNF01000392.1	=	NW_023497153.1	Primary Assembly	33770	na
Contig_492	unplaced-scaffold	na	na	WWNF01000393.1	=	NW_023497154.1	Primary Assembly	33854	na
Contig_493	unplaced-scaffold	na	na	WWNF01000394.1	=	NW_023497155.1	Primary Assembly	33722	na
Contig_494	unplaced-scaffold	na	na	WWNF01000395.1	=	NW_023497156.1	Primary Assembly	33763	na
Contig_495	unplaced-scaffold	na	na	WWNF01000396.1	=	NW_023497157.1	Primary Assembly	33639	na
Contig_496	unplaced-scaffold	na	na	WWNF01000397.1	=	NW_023497158.1	Primary Assembly	33634	na
Contig_498	unplaced-scaffold	na	na	WWNF01000398.1	=	NW_023497159.1	Primary Assembly	33210	na
Contig_50	unplaced-scaffold	na	na	WWNF01000050.1	=	NW_023497160.1	Primary Assembly	1085117	na
Contig_500	unplaced-scaffold	na	na	WWNF01000399.1	=	NW_023497161.1	Primary Assembly	33144	na
Contig_501	unplaced-scaffold	na	na	WWNF01000400.1	=	NW_023497162.1	Primary Assembly	33116	na
Contig_502	unplaced-scaffold	na	na	WWNF01000401.1	=	NW_023497163.1	Primary Assembly	32834	na
Contig_503	unplaced-scaffold	na	na	WWNF01000402.1	=	NW_023497164.1	Primary Assembly	33181	na
Contig_504	unplaced-scaffold	na	na	WWNF01000403.1	=	NW_023497165.1	Primary Assembly	32820	na
Contig_505	unplaced-scaffold	na	na	WWNF01000404.1	=	NW_023497166.1	Primary Assembly	32789	na
Contig_506	unplaced-scaffold	na	na	WWNF01000405.1	=	NW_023497167.1	Primary Assembly	32741	na
Contig_507	unplaced-scaffold	na	na	WWNF01000406.1	=	NW_023497168.1	Primary Assembly	32585	na
Contig_508	unplaced-scaffold	na	na	WWNF01000407.1	=	NW_023497169.1	Primary Assembly	32330	na
Contig_509	unplaced-scaffold	na	na	WWNF01000408.1	=	NW_023497170.1	Primary Assembly	32252	na
Contig_51	unplaced-scaffold	na	na	WWNF01000051.1	=	NW_023497171.1	Primary Assembly	1047734	na
Contig_510	unplaced-scaffold	na	na	WWNF01000409.1	=	NW_023497172.1	Primary Assembly	32119	na
Contig_511	unplaced-scaffold	na	na	WWNF01000410.1	=	NW_023497173.1	Primary Assembly	32072	na
Contig_512	unplaced-scaffold	na	na	WWNF01000411.1	=	NW_023497174.1	Primary Assembly	31947	na
Contig_513	unplaced-scaffold	na	na	WWNF01000412.1	=	NW_023497175.1	Primary Assembly	31891	na
Contig_514	unplaced-scaffold	na	na	WWNF01000413.1	=	NW_023497176.1	Primary Assembly	31803	na
Contig_518	unplaced-scaffold	na	na	WWNF01000415.1	=	NW_023497177.1	Primary Assembly	31550	na
Contig_519	unplaced-scaffold	na	na	WWNF01000416.1	=	NW_023497178.1	Primary Assembly	31507	na
Contig_52	unplaced-scaffold	na	na	WWNF01000052.1	=	NW_023497179.1	Primary Assembly	1030225	na
Contig_520	unplaced-scaffold	na	na	WWNF01000417.1	=	NW_023497180.1	Primary Assembly	31495	na
Contig_521	unplaced-scaffold	na	na	WWNF01000418.1	=	NW_023497181.1	Primary Assembly	31469	na
Contig_522	unplaced-scaffold	na	na	WWNF01000419.1	=	NW_023497182.1	Primary Assembly	31306	na
Contig_523	unplaced-scaffold	na	na	WWNF01000420.1	=	NW_023497183.1	Primary Assembly	31174	na
Contig_524	unplaced-scaffold	na	na	WWNF01000421.1	=	NW_023497184.1	Primary Assembly	31067	na
Contig_525	unplaced-scaffold	na	na	WWNF01000422.1	=	NW_023497185.1	Primary Assembly	31144	na
Contig_526	unplaced-scaffold	na	na	WWNF01000423.1	=	NW_023497186.1	Primary Assembly	31013	na
Contig_528	unplaced-scaffold	na	na	WWNF01000424.1	=	NW_023497187.1	Primary Assembly	30893	na
Contig_529	unplaced-scaffold	na	na	WWNF01000425.1	=	NW_023497188.1	Primary Assembly	31498	na
Contig_533	unplaced-scaffold	na	na	WWNF01000426.1	=	NW_023497189.1	Primary Assembly	30574	na
Contig_534	unplaced-scaffold	na	na	WWNF01000427.1	=	NW_023497190.1	Primary Assembly	30547	na
Contig_535	unplaced-scaffold	na	na	WWNF01000428.1	=	NW_023497191.1	Primary Assembly	30631	na
Contig_537	unplaced-scaffold	na	na	WWNF01000429.1	=	NW_023497192.1	Primary Assembly	30305	na
Contig_538	unplaced-scaffold	na	na	WWNF01000430.1	=	NW_023497193.1	Primary Assembly	30191	na
Contig_539	unplaced-scaffold	na	na	WWNF01000431.1	=	NW_023497194.1	Primary Assembly	30086	na
Contig_54	unplaced-scaffold	na	na	WWNF01000053.1	=	NW_023497195.1	Primary Assembly	1012091	na
Contig_540	unplaced-scaffold	na	na	WWNF01000432.1	=	NW_023497196.1	Primary Assembly	30049	na
Contig_541	unplaced-scaffold	na	na	WWNF01000433.1	=	NW_023497197.1	Primary Assembly	30402	na
Contig_543	unplaced-scaffold	na	na	WWNF01000434.1	=	NW_023497198.1	Primary Assembly	29882	na
Contig_544	unplaced-scaffold	na	na	WWNF01000435.1	=	NW_023497199.1	Primary Assembly	29802	na
Contig_545	unplaced-scaffold	na	na	WWNF01000436.1	=	NW_023497200.1	Primary Assembly	29701	na
Contig_547	unplaced-scaffold	na	na	WWNF01000437.1	=	NW_023497201.1	Primary Assembly	30540	na
Contig_548	unplaced-scaffold	na	na	WWNF01000438.1	=	NW_023497202.1	Primary Assembly	29348	na
Contig_549	unplaced-scaffold	na	na	WWNF01000439.1	=	NW_023497203.1	Primary Assembly	29296	na
Contig_55	unplaced-scaffold	na	na	WWNF01000054.1	=	NW_023497204.1	Primary Assembly	986901	na
Contig_550	unplaced-scaffold	na	na	WWNF01000440.1	=	NW_023497205.1	Primary Assembly	29200	na
Contig_551	unplaced-scaffold	na	na	WWNF01000441.1	=	NW_023497206.1	Primary Assembly	29354	na
Contig_552	unplaced-scaffold	na	na	WWNF01000442.1	=	NW_023497207.1	Primary Assembly	29518	na
Contig_553	unplaced-scaffold	na	na	WWNF01000443.1	=	NW_023497208.1	Primary Assembly	29112	na
Contig_554	unplaced-scaffold	na	na	WWNF01000444.1	=	NW_023497209.1	Primary Assembly	28979	na
Contig_555	unplaced-scaffold	na	na	WWNF01000445.1	=	NW_023497210.1	Primary Assembly	28940	na
Contig_556	unplaced-scaffold	na	na	WWNF01000446.1	=	NW_023497211.1	Primary Assembly	28921	na
Contig_557	unplaced-scaffold	na	na	WWNF01000447.1	=	NW_023497212.1	Primary Assembly	28807	na
Contig_558	unplaced-scaffold	na	na	WWNF01000448.1	=	NW_023497213.1	Primary Assembly	28759	na
Contig_559	unplaced-scaffold	na	na	WWNF01000449.1	=	NW_023497214.1	Primary Assembly	28567	na
Contig_561	unplaced-scaffold	na	na	WWNF01000450.1	=	NW_023497215.1	Primary Assembly	28501	na
Contig_562	unplaced-scaffold	na	na	WWNF01000451.1	=	NW_023497216.1	Primary Assembly	28491	na
Contig_564	unplaced-scaffold	na	na	WWNF01000452.1	=	NW_023497217.1	Primary Assembly	27914	na
Contig_566	unplaced-scaffold	na	na	WWNF01000453.1	=	NW_023497218.1	Primary Assembly	27913	na
Contig_567	unplaced-scaffold	na	na	WWNF01000454.1	=	NW_023497219.1	Primary Assembly	27852	na
Contig_568	unplaced-scaffold	na	na	WWNF01000455.1	=	NW_023497220.1	Primary Assembly	27778	na
Contig_569	unplaced-scaffold	na	na	WWNF01000456.1	=	NW_023497221.1	Primary Assembly	27846	na
Contig_57	unplaced-scaffold	na	na	WWNF01000056.1	=	NW_023497222.1	Primary Assembly	964264	na
Contig_570	unplaced-scaffold	na	na	WWNF01000457.1	=	NW_023497223.1	Primary Assembly	27741	na
Contig_571	unplaced-scaffold	na	na	WWNF01000458.1	=	NW_023497224.1	Primary Assembly	27732	na
Contig_572	unplaced-scaffold	na	na	WWNF01000459.1	=	NW_023497225.1	Primary Assembly	27672	na
Contig_573	unplaced-scaffold	na	na	WWNF01000460.1	=	NW_023497226.1	Primary Assembly	27472	na
Contig_574	unplaced-scaffold	na	na	WWNF01000461.1	=	NW_023497227.1	Primary Assembly	27459	na
Contig_575	unplaced-scaffold	na	na	WWNF01000462.1	=	NW_023497228.1	Primary Assembly	27433	na
Contig_577	unplaced-scaffold	na	na	WWNF01000463.1	=	NW_023497229.1	Primary Assembly	27320	na
Contig_579	unplaced-scaffold	na	na	WWNF01000464.1	=	NW_023497230.1	Primary Assembly	26997	na
Contig_58	unplaced-scaffold	na	na	WWNF01000057.1	=	NW_023497231.1	Primary Assembly	951551	na
Contig_580	unplaced-scaffold	na	na	WWNF01000465.1	=	NW_023497232.1	Primary Assembly	26973	na
Contig_582	unplaced-scaffold	na	na	WWNF01000466.1	=	NW_023497233.1	Primary Assembly	26489	na
Contig_583	unplaced-scaffold	na	na	WWNF01000467.1	=	NW_023497234.1	Primary Assembly	26208	na
Contig_584	unplaced-scaffold	na	na	WWNF01000468.1	=	NW_023497235.1	Primary Assembly	26183	na
Contig_585	unplaced-scaffold	na	na	WWNF01000469.1	=	NW_023497236.1	Primary Assembly	26166	na
Contig_586	unplaced-scaffold	na	na	WWNF01000470.1	=	NW_023497237.1	Primary Assembly	26132	na
Contig_587	unplaced-scaffold	na	na	WWNF01000471.1	=	NW_023497238.1	Primary Assembly	26215	na
Contig_588	unplaced-scaffold	na	na	WWNF01000472.1	=	NW_023497239.1	Primary Assembly	26020	na
Contig_589	unplaced-scaffold	na	na	WWNF01000473.1	=	NW_023497240.1	Primary Assembly	26149	na
Contig_59	unplaced-scaffold	na	na	WWNF01000058.1	=	NW_023497241.1	Primary Assembly	946277	na
Contig_590	unplaced-scaffold	na	na	WWNF01000474.1	=	NW_023497242.1	Primary Assembly	25949	na
Contig_591	unplaced-scaffold	na	na	WWNF01000475.1	=	NW_023497243.1	Primary Assembly	25897	na
Contig_592	unplaced-scaffold	na	na	WWNF01000476.1	=	NW_023497244.1	Primary Assembly	25955	na
Contig_593	unplaced-scaffold	na	na	WWNF01000477.1	=	NW_023497245.1	Primary Assembly	25756	na
Contig_594	unplaced-scaffold	na	na	WWNF01000478.1	=	NW_023497246.1	Primary Assembly	25681	na
Contig_595	unplaced-scaffold	na	na	WWNF01000479.1	=	NW_023497247.1	Primary Assembly	25684	na
Contig_596	unplaced-scaffold	na	na	WWNF01000480.1	=	NW_023497248.1	Primary Assembly	25574	na
Contig_597	unplaced-scaffold	na	na	WWNF01000481.1	=	NW_023497249.1	Primary Assembly	25844	na
Contig_598	unplaced-scaffold	na	na	WWNF01000482.1	=	NW_023497250.1	Primary Assembly	25511	na
Contig_599	unplaced-scaffold	na	na	WWNF01000483.1	=	NW_023497251.1	Primary Assembly	25446	na
Contig_600	unplaced-scaffold	na	na	WWNF01000484.1	=	NW_023497252.1	Primary Assembly	25413	na
Contig_601	unplaced-scaffold	na	na	WWNF01000485.1	=	NW_023497253.1	Primary Assembly	25344	na
Contig_605	unplaced-scaffold	na	na	WWNF01000486.1	=	NW_023497254.1	Primary Assembly	25054	na
Contig_606	unplaced-scaffold	na	na	WWNF01000487.1	=	NW_023497255.1	Primary Assembly	24979	na
Contig_607	unplaced-scaffold	na	na	WWNF01000488.1	=	NW_023497256.1	Primary Assembly	24958	na
Contig_608	unplaced-scaffold	na	na	WWNF01000489.1	=	NW_023497257.1	Primary Assembly	24830	na
Contig_609	unplaced-scaffold	na	na	WWNF01000490.1	=	NW_023497258.1	Primary Assembly	24587	na
Contig_61	unplaced-scaffold	na	na	WWNF01000060.1	=	NW_023497259.1	Primary Assembly	936476	na
Contig_610	unplaced-scaffold	na	na	WWNF01000491.1	=	NW_023497260.1	Primary Assembly	24675	na
Contig_612	unplaced-scaffold	na	na	WWNF01000492.1	=	NW_023497261.1	Primary Assembly	24522	na
Contig_613	unplaced-scaffold	na	na	WWNF01000493.1	=	NW_023497262.1	Primary Assembly	24560	na
Contig_614	unplaced-scaffold	na	na	WWNF01000494.1	=	NW_023497263.1	Primary Assembly	24759	na
Contig_616	unplaced-scaffold	na	na	WWNF01000495.1	=	NW_023497264.1	Primary Assembly	24395	na
Contig_617	unplaced-scaffold	na	na	WWNF01000496.1	=	NW_023497265.1	Primary Assembly	24648	na
Contig_618	unplaced-scaffold	na	na	WWNF01000497.1	=	NW_023497266.1	Primary Assembly	24250	na
Contig_619	unplaced-scaffold	na	na	WWNF01000498.1	=	NW_023497267.1	Primary Assembly	24097	na
Contig_62	unplaced-scaffold	na	na	WWNF01000061.1	=	NW_023497268.1	Primary Assembly	894058	na
Contig_620	unplaced-scaffold	na	na	WWNF01000499.1	=	NW_023497269.1	Primary Assembly	24038	na
Contig_621	unplaced-scaffold	na	na	WWNF01000500.1	=	NW_023497270.1	Primary Assembly	24060	na
